method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
Baseline,5,15,0,Bot,0.4183796852789762,1442,1,0.4347826083545901,1416,1,0.0,1961,0,0.6533973914605473,1009,1
Baseline,5,16,0,Bot,0.5237020312153865,1265,1,0.6662134597861624,981,1,0.0,1961,0,0.5352743557102622,1244,1
Baseline,5,17,0,Bot,0.5851370847227185,1150,0,0.6141342751923867,1092,0,0.0,1961,0,0.7714464616419607,729,1
Baseline,5,18,0,Bot,0.5820679677720176,1156,0,0.5649469443435818,1189,0,0.0,1961,0,0.4145454542160253,1448,1
Baseline,5,19,0,Bot,0.5387481367147681,1238,0,0.6410256405896281,1036,0,0.0,1961,0,0.4721464741227801,1355,0
Baseline,5,20,0,Bot,0.7222403121396826,852,1,0.7350096707143494,821,1,0.0,1961,0,0.7218241037725673,853,1
Baseline,5,21,0,Bot,0.5098784190726096,1290,0,0.5047655352684504,1299,0,0.0,1961,0,0.4897959179971238,1325,0
Baseline,5,22,0,Bot,0.5363670268353781,1242,1,0.7419044560892543,804,1,0.0,1961,695,0.7201565553114982,857,1
Baseline,5,23,0,Bot,0.4965517237638951,1313,1,0.6796769847457854,951,1,0.0,1961,0,0.5354742341108528,1244,0
Baseline,5,24,0,Bot,0.7249674897844243,846,0,0.7390745496619333,811,1,0.0,1961,0,0.7683615814471045,737,1
Baseline,2,0,0,Brute Force -Web,0.3473541381109452,481,0,0.2140762461425211,536,0,0.0,609,0,0.3495934956455262,480,0
Baseline,2,1,0,Brute Force -Web,0.18749999982952,546,0,0.18749999982952,546,0,0.0,609,0,0.2845070420086848,508,0
Baseline,2,2,0,Brute Force -Web,0.3396739127569965,484,2,0.1788375557184796,549,2,0.0,609,0,0.3396739127569965,484,2
Baseline,2,3,0,Brute Force -Web,0.3405994547573484,484,0,0.3083333330716781,498,0,0.3401360541367615,484,1,0.2322206093731686,529,0
Baseline,2,4,0,Brute Force -Web,0.0697305863033195,587,0,0.1517450681445883,559,0,0.0,609,0,0.0849056602957903,582,0
Baseline,2,5,0,Brute Force -Web,0.18749999982952,546,0,0.0938967135252411,579,0,0.0,609,0,0.0,609,0
Baseline,2,6,0,Brute Force -Web,0.18749999982952,546,0,0.1086956520707871,574,0,0.0,609,0,0.0130505709494716,605,0
Baseline,2,7,0,Brute Force -Web,0.3428571425721282,483,0,0.0480769230298477,594,0,0.0,609,0,0.3495934956455262,480,0
Baseline,2,8,0,Brute Force -Web,0.0,609,0,0.3374149657013948,485,2,0.0,609,0,0.0,609,0
Baseline,2,9,0,Brute Force -Web,0.3428571425721282,483,0,0.2575107293886422,519,0,0.0,609,0,0.0098039215588395,606,0
Baseline,2,10,0,Brute Force -Web,0.4717691338917804,421,0,0.4562737639052177,429,0,0.0,609,0,0.3495934956455262,480,0
Baseline,2,11,0,Brute Force -Web,0.3405994547573484,484,0,0.2698863634021298,514,0,0.3401360541367615,484,1,0.2917251049393491,505,0
Baseline,2,12,0,Brute Force -Web,0.0227272727047299,602,0,0.0,609,0,0.0,609,77,0.0666666666020105,588,0
Baseline,2,13,0,Brute Force -Web,0.4698492458705051,422,0,0.4523506985052271,431,0,0.0,609,0,0.2449567721186331,524,0
Baseline,2,14,0,Brute Force -Web,0.3428571425721282,483,0,0.3036211696580605,500,0,0.0,609,0,0.0574162678866326,591,0
Baseline,2,15,0,Brute Force -Web,0.3473541381109452,481,0,0.3405994547573484,484,0,0.0,609,0,0.3473541381109452,481,0
Baseline,2,16,0,Brute Force -Web,0.3405994547573484,484,0,0.2140762461425211,536,0,0.0,609,0,0.3495934956455262,480,0
Baseline,2,17,0,Brute Force -Web,0.1793721971455958,549,0,0.2347826084877504,528,0,0.0,609,0,0.0,609,0
Baseline,2,18,0,Brute Force -Web,0.0,609,0,0.0,609,0,0.0,609,0,0.0,609,0
Baseline,2,19,0,Brute Force -Web,0.4736842101636327,420,0,0.4659949618580316,424,0,0.0,609,0,0.3473541381109452,481,0
Baseline,2,20,0,Brute Force -Web,0.1901931647604635,545,0,0.1766467064252527,550,0,0.0,609,0,0.1319018403671901,566,0
Baseline,2,21,0,Brute Force -Web,0.1901931647604635,545,0,0.0788643532362994,584,0,0.0,609,0,0.3337893294063675,487,0
Baseline,2,22,0,Brute Force -Web,0.1901931647604635,545,0,0.1290322579434121,567,0,0.0,609,90,0.3246217328771061,491,0
Baseline,2,23,0,Brute Force -Web,0.1820895520727511,548,0,0.0032786885213061,608,0,0.0,609,0,0.1232665638284809,569,0
Baseline,2,24,0,Brute Force -Web,0.0,609,0,0.1788375557184796,549,2,0.0,609,0,0.0,609,0
Baseline,5,0,0,Brute Force -Web,0.5841121491178269,356,0,0.6412556049440769,320,0,0.0,606,0,0.3328748277821349,485,0
Baseline,5,1,0,Brute Force -Web,0.4754716977495763,417,0,0.530909090517827,387,0,0.0,606,0,0.4156862741794284,447,0
Baseline,5,2,0,Brute Force -Web,0.3433242503923112,480,2,0.4837905233202405,412,2,0.0,606,0,0.4125326367441457,448,2
Baseline,5,3,0,Brute Force -Web,0.5932792579813231,350,1,0.5923344943552389,351,0,0.0,606,0,0.6518353721954216,313,0
Baseline,5,4,0,Brute Force -Web,0.3397260271143103,482,0,0.3259668505549891,488,0,0.0,606,0,0.4361290319159142,437,0
Baseline,5,5,0,Brute Force -Web,0.6796959821760183,293,2,0.67538126316637,296,2,0.0,606,0,0.4849999996314,412,0
Baseline,5,6,0,Brute Force -Web,0.473551636916978,418,0,0.5660377354398474,366,2,0.0,606,0,0.5890570426564066,353,0
Baseline,5,7,0,Brute Force -Web,0.5890570426564066,353,0,0.5841121491178269,356,0,0.0,606,0,0.4599745866840349,425,0
Baseline,5,8,0,Brute Force -Web,0.3342465750595308,484,2,0.3342465750595308,484,2,0.0,606,0,0.3342465750595308,484,2
Baseline,5,9,0,Brute Force -Web,0.497524752099016,405,1,0.6382022467550259,322,0,0.0,606,0,0.6563192900232349,310,0
Baseline,5,10,0,Brute Force -Web,0.4773869343087295,416,0,0.4696969693363942,420,0,0.0,606,0,0.3487738416729502,478,0
Baseline,5,11,0,Brute Force -Web,0.4716267335602156,419,0,0.2460202602755712,521,0,0.0,606,0,0.6622516551847141,306,0
Baseline,5,12,0,Brute Force -Web,0.5857642936334367,355,0,0.4361290319159142,437,0,0.0,606,0,0.5972222218019547,348,0
Baseline,5,13,0,Brute Force -Web,0.0638977635162143,586,0,0.3347050751643851,484,1,0.0,606,0,0.4031620550130138,453,0
Baseline,5,14,0,Brute Force -Web,0.3796791440764105,464,0,0.5890570426564066,353,0,0.0130932896727588,602,1,0.6150341681358751,336,2
Baseline,5,15,0,Brute Force -Web,0.6681270532213841,301,2,0.5974625139953252,347,2,0.0,606,0,0.3554952507243675,475,0
Baseline,5,16,0,Brute Force -Web,0.3397260271143103,482,0,0.4671717168111481,421,1,0.3567567564592111,474,2,0.555423122362697,373,0
Baseline,5,17,0,Brute Force -Web,0.5794392519215762,358,2,0.5761124117645026,360,2,0.0,606,0,0.0514469452873316,590,0
Baseline,5,18,0,Brute Force -Web,0.507975459740094,399,2,0.3387978139217206,482,2,0.0,606,0,0.3487738416729502,478,0
Baseline,5,19,0,Brute Force -Web,0.1496183204718046,557,0,0.3465211456880152,479,0,0.0,606,0,0.3465211456880152,479,0
Baseline,5,20,0,Brute Force -Web,0.3419972637374359,481,0,0.4894409934154145,409,2,0.0,606,0,0.3465211456880152,479,0
Baseline,5,21,0,Brute Force -Web,0.4329896903783744,438,2,0.4335483867546306,438,1,0.0117130305466152,602,73,0.5170731703447115,394,2
Baseline,5,22,0,Brute Force -Web,0.3577235769410624,474,0,0.5461077840317544,378,1,0.0,606,0,0.6868905737620483,289,0
Baseline,5,23,0,Brute Force -Web,0.5874125869963324,354,0,0.5841121491178269,356,0,0.0,606,0,0.3839999996887039,462,0
Baseline,5,24,0,Brute Force -Web,0.2017804152482455,538,0,0.2228739000945639,530,0,0.0,606,0,0.3818424562988515,463,0
Baseline,2,0,0,Brute Force -XSS,0.6388059697106705,121,0,0.6306306301950598,123,0,0.0,228,17,0.6388059697106705,121,0
Baseline,2,1,0,Brute Force -XSS,0.6388059697106705,121,0,0.5615141951761885,139,0,0.0,228,0,0.6428571424170918,120,0
Baseline,2,2,0,Brute Force -XSS,0.6265060236623602,124,0,0.6097560971334027,128,0,0.0,228,0,0.6012269934408521,130,0
