method,Rank_Cat_f1_min_mean,Rank_Cat_f1_min_std,Cat_f1_min_mean,Cat_f1_min_std,Rank_XGB_f1_min_mean,Rank_XGB_f1_min_std,XGB_f1_min_mean,XGB_f1_min_std,Rank_LGB_f1_min_mean,Rank_LGB_f1_min_std,LGB_f1_min_mean,LGB_f1_min_std,Rank_TabM_f1_min_mean,Rank_TabM_f1_min_std,TabM_f1_min_mean,TabM_f1_min_std
ADASYN,3.42,1.4338177476002079,0.8056425878729141,0.0855374375984455,3.74,1.9155068954891985,0.6020272410909384,0.138726353870296,4.26,1.910061081047759,0.5576276584504347,0.16499731654128622,2.64,1.1135528725660042,0.8026676953732721,0.08885759067820072
Baseline,8.74,0.5612486080160913,0.4485468971106548,0.11776169535780347,8.62,0.6500000000000001,0.3876309455544655,0.12996352328996,8.92,0.18708286933869703,0.000115107905343532,0.0005755395267176599,8.06,0.8205689083394117,0.5815113537295148,0.07677300902592839
BorderlineSMOTE,4.66,2.055075018906447,0.7394253569930496,0.14477198763979918,4.58,1.8522508829349587,0.5761719839230727,0.1292967276635685,5.26,2.39408994540027,0.4810388187052432,0.24942331677691193,4.06,1.7755280904564705,0.7557439443684718,0.10163715001511081
CTGAN,7.86,0.8103497187428812,0.5179102025179577,0.08946366399281978,6.66,1.5924300089276555,0.4946222330941095,0.10828235034535148,4.8,2.3935677693908453,0.5465653746551858,0.1410244916849427,7.4,1.3149778198382918,0.5927661207722162,0.1464223603229723
RO,3.42,1.351542328847553,0.8165217439806366,0.07856712980258605,5.64,1.9231051279982938,0.53987834522166,0.10633011032224615,5.9,1.9737865470545022,0.5063426280568519,0.1404265694272838,5.3,1.3693063937629153,0.7233262307385044,0.07774853753295426
SMOTE,4.72,1.5416441439796236,0.7569593879125514,0.09271323935982168,4.44,2.1031722072463146,0.5846130458944339,0.13870353837889093,4.18,2.2073740054644113,0.5589460231973765,0.1649547578292943,4.26,1.8377975949489105,0.7547482788311447,0.0919211219590267
STSMOTE,1.88,1.0731573354670165,0.8441479764530232,0.08034072935474788,1.2,0.6454972243679027,0.7652674526786698,0.07672762320420229,1.94,1.8502252115170559,0.7167535592761696,0.11780281678898223,1.88,1.332916601542147,0.8212358029655451,0.09141555181999678
TVAE,6.88,0.6000000000000003,0.5977016468875366,0.08064937654945638,5.88,2.083066649597815,0.5195595214468005,0.10781968793755747,4.96,1.8925291719460142,0.5393195923507305,0.11331183500296416,7.72,1.2754084313139327,0.575914784749805,0.11692573619114564
TabSyn,3.42,1.6688319268278637,0.8099757686716855,0.0891045050699822,4.24,1.6901676445449625,0.5921183233790706,0.11501604407317853,4.78,1.69607389776114,0.5397481310078215,0.14433516214064648,3.68,1.941219547947458,0.7782696466134896,0.10605468776854955
